YEAR,Actual_GW,Pred_GW
2002,25.053050994873047,32.557716369628906
2003,22.18160057067871,29.10718536376953
2004,18.990779876708984,24.996599197387695
2005,17.970657348632812,26.107601165771484
2006,20.905630111694336,28.8424072265625
2007,18.4419002532959,29.054092407226562
2008,19.687416076660156,26.834903717041016
2009,17.99117088317871,25.27690315246582
2010,19.59222412109375,27.641557693481445
2011,24.5007381439209,31.586633682250977
2012,23.72455406188965,32.55668258666992
2013,20.238656997680664,27.241792678833008
2014,19.602697372436523,26.12010955810547
2015,17.374011993408203,24.23887825012207
2016,16.675472259521484,23.657758712768555
2017,16.7869815826416,23.90891456604004
2018,16.065706253051758,23.645671844482422
2019,,27.023984909057617
